"","lon","lat","year","year90"
"529",102.6095,37.9317,"2018",73.9796
"530",102.625,24.9624,"2013",74.520394
"531",102.625,24.9624,"2014",63.510196
"532",102.625,24.9624,"2015",66.806088
"533",102.625,24.9624,"2016",68.596925
"534",102.625,24.9624,"2017",62.785712
"535",102.625,24.9624,"2018",74.632656
"536",102.6378,37.9422,"2015",60.7143
"537",102.6378,37.9422,"2016",72.29594
"538",102.6378,37.9422,"2017",74.581636
"539",102.6378,37.9422,"2018",76.795904
"540",102.638,25.0359,"2013",72.193891
"541",102.638,25.0359,"2014",62.39796
"542",102.638,25.0359,"2015",63.204076
"543",102.638,25.0359,"2016",51.07142
"544",102.638,25.0359,"2017",64.938756
"545",102.681,25.067,"2013",67.765264
"546",102.681,25.067,"2014",61.7347
"547",102.681,25.067,"2015",59.4163208
"548",102.681,25.067,"2016",66.17344
"549",102.681,25.067,"2017",61.020402
"550",102.722,25.0405,"2013",49.69388
"551",102.722,25.0405,"2014",46.336764
"552",102.722,25.0405,"2015",52.3522572
"553",102.722,25.0405,"2016",70.051045
"554",102.722,25.0405,"2017",69.836776
"555",102.728,25.0836,"2013",66.561192
"556",102.728,25.0836,"2014",64.64284
"557",102.728,25.0836,"2015",60.7143
"558",102.728,25.0836,"2016",73.494895
"559",102.728,25.0836,"2017",65.244876
"560",102.728,25.0836,"2018",76.484682
"561",102.743,25.0124,"2013",72.744916
"562",102.743,25.0124,"2014",69.346954
"563",102.743,25.0124,"2015",64.704064
"564",102.743,25.0124,"2016",66.09691
"565",102.743,25.0124,"2017",67.948978
"566",102.743,25.0124,"2018",78.561196
"567",102.821,24.8885,"2013",63.8177904
"568",102.821,24.8885,"2014",64.316312
"569",102.821,24.8885,"2015",59.061252
"570",102.821,24.8885,"2016",64.18366
"571",102.821,24.8885,"2017",66.17344
"572",102.821,24.8885,"2018",66.698946
"573",102.9097,34.9833,"2015",72.591856
"574",102.9097,34.9833,"2016",75.5102
"575",102.9097,34.9833,"2017",72.80614
"576",102.9097,34.9833,"2018",72.214308
"577",102.9995,29.9844,"2015",51.408152
"578",102.9995,29.9844,"2016",63.2653
"579",102.9995,29.9844,"2017",74.8901536
"580",102.9995,29.9844,"2018",62.535714
"581",102.9997,29.9942,"2015",30.96934
"582",102.9997,29.9942,"2016",92.474485
"583",102.9997,29.9942,"2017",79.469394
"584",102.9997,29.9942,"2018",75.158162
"585",103.0012,29.9793,"2015",57.173494
"586",103.0012,29.9793,"2016",65.53569
"587",103.0012,29.9793,"2017",63.581624
"588",103.0012,29.9793,"2018",62.535714
"589",103.0133,29.9805,"2015",52.693856
"590",103.0133,29.9805,"2016",97.7780835
"591",103.0133,29.9805,"2017",76.714272
"592",103.0133,29.9805,"2018",68.403035
"593",103.2026,35.5944,"2015",69.020426
"594",103.2026,35.5944,"2016",75.28061
"595",103.2026,35.5944,"2017",74.64286
"596",103.2026,35.5944,"2018",72.484714
"597",103.2169,35.6028,"2015",69.642888
"598",103.2169,35.6028,"2016",67.19384
"599",103.2169,35.6028,"2017",72.530632
"600",103.2169,35.6028,"2018",67.04078
"601",103.2883,23.4009,"2015",80.9738196
"602",103.2883,23.4009,"2016",75.81632
"603",103.2883,23.4009,"2017",65.673444
"604",103.3129,23.46,"2015",67.620854
"605",103.3129,23.46,"2016",67.984685
"606",103.3129,23.46,"2017",65.782486
"607",103.3758,23.3682,"2017",57.530622
"608",103.3758,23.3682,"2018",69.23471
"609",103.3989,23.3643,"2015",79.94894
"610",103.3989,23.3643,"2016",68.85206
"611",103.3989,23.3643,"2017",63.999988
"612",103.3989,23.3643,"2018",69.23471
"613",103.5416,25.1166,"2014",68.3673
"614",103.5416,25.1166,"2015",68.663216
"615",103.5416,25.1166,"2016",73.54593
"616",103.5416,25.1166,"2017",70.897962
"617",103.613,31.0283,"2013",68.601992
"618",103.613,31.0283,"2014",87.928568
"619",103.613,31.0283,"2015",98.020412
"620",103.613,31.0283,"2016",84.107155
"621",103.613,31.0283,"2017",90.040796
"622",103.613,31.0283,"2018",94.515341
"623",103.631,36.1031,"2013",55.846892
"624",103.631,36.1031,"2014",73.816318
"625",103.631,36.1031,"2015",77.795896
"626",103.631,36.1031,"2016",87.29591
"627",103.631,36.1031,"2017",101.887784
"628",103.631,36.1031,"2018",110.265398
"629",103.7068,27.336,"2015",56.387774
"630",103.7068,27.336,"2016",65.91834
"631",103.7068,27.336,"2017",68.765298
"632",103.7068,27.336,"2018",68.229546
"633",103.712,36.0756,"2013",59.6696724
"634",103.712,36.0756,"2014",71.275528
"635",103.712,36.0756,"2015",71.357172
"636",103.712,36.0756,"2016",80.025525
"637",103.712,36.0756,"2017",91.234692
"638",103.712,36.0756,"2018",104.84698
"639",103.7251,27.3325,"2015",82.70412
"640",103.7251,27.3325,"2016",75.79081
"641",103.7251,27.3325,"2017",72.673488
